iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT900_num50.txt,fixed,1070,8,133.75,12.901065826416016,5.126211643218994,7.245336291816784e-06,-3.64,-0.26857098,0.27250000834465027,0.038649071007966995,0.23999999463558197,0.36000001430511475,0.3668653964996338,0.37026333808898926,0.003452480770647526,0.512417197227478,0.042868226766586304,0.0234375,0.0003,291,109,135.8126549561892,5.149912595748901,2.7285873889923096,7.878499984741211,431,0.22136619838420302,0,0,TRUE,pair,154,2.085354500566609,5.520560750560226,40,0,6.9480519480519485,2.085354500566609,0.1989059994230047,2.732725302223116,cpu,cuda:0,0,670.42919921875,50
1,1,DDT900_num50.txt,fixed,1021,8,127.625,9.379998207092285,5.064700126647949,7.1286758611677215e-06,-3.84,-0.286825098,0.25999999046325684,0.03162278234958649,0.20000000298023224,0.30000001192092896,0.17766080300013223,0.18107436100641885,0.0031175202845285335,0.4972308079401652,0.04169413567675898,0.016806891188025475,0.0003,296,104,118.70820212246294,5.080072641372681,3.5208494663238525,8.600922107696533,420,0.1518304996425286,0,0,TRUE,pair,146,2.2138613008428365,5.622918709485001,55,0,6.993150684931507,2.2138613008428365,0.20796939893625677,2.537945198477246,cpu,cuda:0,0,671.42724609375,52
2,1,DDT900_num50.txt,fixed,1087,8,135.875,7.655675888061523,5.9091668128967285,5.895739832340041e-06,-3.64,-0.312445018,0.2724999785423279,0.009682463482022285,0.25999999046325684,0.2800000011920929,-0.575282931,-0.573658466,0.0028663950506597757,0.3057645559310913,0.38823044300079346,0.06896551698446274,0.0003,291,109,177.4292677814506,5.927034139633179,0.19935083389282227,6.126384973526001,431,0.1768194001633674,0,0,TRUE,pair,149,2.643077499815263,5.4268629219735995,50,0,7.295302013422819,2.643077499815263,0.2391531994799152,2.896646000444889,cpu,cuda:0,0,69.56982422,52
3,1,DDT900_num50.txt,fixed,1009,8,126.125,7.833222389221191,4.881556510925293,6.083178959670477e-06,-4,-0.333574168,0.25,0.03162277489900589,0.2199999988079071,0.3199999928474426,-1.200217724,-1.203511953,0.012704924680292606,0.30581438541412354,0.0590125247836113,0.011857707984745502,0.0003,300,100,156.68460455956884,4.898571968078613,1.5411162376403809,6.439688205718994,427,0.14333750144578516,0,0,TRUE,pair,142,2.1298881999682635,5.74132804709927,40,0,7.105633802816901,2.1298881999682635,0.19365600089076906,2.459367499453947,cpu,cuda:0,0,345.23876953125,51
4,1,DDT900_num50.txt,fixed,1066,8,133.25,5.285593509674072,6.567804336547852,4.9496984502184205e-06,-3.44,-0.315550412,0.2849999964237213,0.013228763826191425,0.25999999046325684,0.30000001192092896,-0.316605979,-0.313747203,0.002883301384281367,0.4300423443317413,0.0127179613977205,0.025389502570033074,0.0003,286,114,82.70013370550966,6.584940433502197,6.305002450942993,12.88994288444519,417,0.1957576998975128,0,0,TRUE,pair,140,3.104785399627872,6.11444652550216,55,0,7.614285714285714,3.104785399627872,0.30266299832146615,3.014178699464537,cpu,cuda:0,0,671.42919921875,52
5,1,DDT900_num50.txt,fixed,959,8,119.875,4.371427059173584,5.965821266174316,4.801041995960986e-06,-4.12,-0.328211401,0.24250000715255737,0.029047375544905663,0.20000000298023224,0.30000001192092896,0.5277875065803528,0.5314557552337646,0.004972703754901886,0.6154618263244629,0.06060978025197983,0.033203125,0.0003,303,97,110.47099224919593,5.9858338832855225,2.6951780319213867,8.68101191520691,402,0.19195440004114062,0,0,TRUE,pair,127,2.677566400030628,6.2836287787360865,55,0,7.551181102362205,2.677566400030628,0.26965959928929806,2.8791032001608983,cpu,cuda:0,0,671.4267578,51
6,1,DDT900_num50.txt,fixed,992,8,124,7.211102485656738,4.898407936096191,6.41075575913419e-06,-3.96,-0.318664225,0.2524999976158142,0.031523801386356354,0.20000000298023224,0.30000001192092896,0.4016311466693878,0.40610894560813904,0.00361862825229764,0.6287133097648621,0.0473443977534771,0.01953125,0.0003,299,101,113.25972780914165,4.917847633361816,3.8407819271087646,8.758629560470581,406,0.15391920134425163,0,0,TRUE,pair,138,2.115671200561337,6.031250000480683,55,0,7.188405797101449,2.115671200561337,0.21180349960923195,2.460694000357762,cpu,cuda:0,0,671.42724609375,49
7,1,DDT900_num50.txt,fixed,977,8,122.125,6.5467071533203125,4.622835636138916,5.588869044004241e-06,-4.16,-0.318034131,0.24000000953674316,0.02828427404165268,0.20000000298023224,0.30000001192092896,-0.169641483,-0.166446372,0.0036412406014278533,0.5015731275081634,0.05695996741997078,0.03195637054741383,0.0003,304,96,94.53250486182623,4.639237403869629,5.695832014083862,10.335069417953491,423,0.17504169954918325,0,0,TRUE,pair,135,1.8761345013044775,6.0051177045828,60,0,7.237037037037037,1.8761345013044775,0.18741749797482044,2.453576800529845,cpu,cuda:0,0,671.42724609375,48
8,1,DDT900_num50.txt,fixed,965,8,120.625,6.263734817504883,5.435718536376953,1.4750192349310964e-05,-4.08,-0.333583417,0.24500000476837158,0.03570714220404625,0.20000000298023224,0.3199999928474426,-0.24390515,-0.239308267,0.002995266579091549,0.6094515547156334,0.040740300275501795,0.034808498341590166,0.0003,302,98,105.7764880243736,5.46274995803833,3.6602604389190674,9.123010396957397,397,0.17538840067572892,0,0,TRUE,pair,127,2.385485800448805,6.158549219833136,45,0,7.5984251968503935,2.385485800448805,0.23445249977521598,2.6934114971663803,cpu,cuda:0,0,671.42724609375,46
9,1,DDT900_num50.txt,fixed,975,8,121.875,7.991206169128418,4.692269802093506,5.73445004192763e-06,-4.12,-0.318029431,0.24250000715255737,0.02904737927019596,0.2199999988079071,0.30000001192092896,-0.156431943,-0.149352491,0.0011471037287265062,0.7652996778488159,0.08451863378286362,0.04878048598766327,0.0003,303,97,196.43269326514036,4.708796262741089,0.25473594665527344,4.963532209396362,423,0.16083370021078736,0,0,TRUE,pair,135,1.9313127995701507,5.869743588765462,55,0,7.222222222222222,1.9313127995701507,0.19181160198058933,2.46274370001629,cpu,cuda:0,0,87.50488281,46
