iteration,instance_id,instance_name,instance_selection,transitions,episode_count,episode_transition_mean,episode_transition_std,episode_seconds_mean,episode_seconds_std,reward,mean_return,fulfillment_rate_mean,fulfillment_rate_std,fulfillment_rate_min,fulfillment_rate_max,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,discard_count,completion_count,steps_per_second,rollout_seconds,update_seconds,elapsed_seconds,fluid_solve_count,fluid_solve_seconds,fluid_cache_hit_count,fluid_fallback_count,sparse_attention_enabled,sparse_attention_scope,policy_forward_count,policy_forward_seconds,avg_action_tokens,max_action_tokens,padding_ratio,actor_batch_size_mean,policy_act_seconds,simulator_step_seconds,obs_build_seconds,rollout_device,update_device,cpu_memory_mb,gpu_memory_mb,gpu_temperature
0,1,DDT500_num50.txt,fixed,983,8,122.875,6.734936714172363,4.708953857421875,7.204029316199012e-06,-5.96,-0.136012205,0.1274999976158142,0.031523801386356354,0.07999999821186066,0.18000000715255737,0.08982574741045633,0.10393143097559611,0.004458782740402967,1.6335071325302124,0.0023893461445065136,0.023579691257327794,0.0003,349,51,52.511294281767015,4.7226786613464355,13.997103691101074,18.71978235244751,526,0.19351829902734607,0,0,TRUE,pair,130,1.8896609999937937,6.492370297440678,44,0,7.561538461538461,1.8896609999937937,0.16409119905438274,2.562049098080024,cpu,cuda:0,0,327.6953125,43
1,1,DDT500_num50.txt,fixed,971,8,121.375,7.74495792388916,4.499780654907227,5.727010830014478e-06,-5.96,-0.217066655,0.1274999976158142,0.051901351660490036,0.03999999910593033,0.20000000298023224,0.029557146628697715,0.0434558113416036,0.005271032188708584,1.6534194469451904,0.000603613294272994,0.001085434202104807,0.0003,349,51,53.83267622304908,4.516369819641113,13.519912719726562,18.03737187385559,512,0.18381560081616044,0,0,TRUE,pair,134,1.8582950005074963,7.049433570934496,60,0,7.246268656716418,1.8582950005074963,0.17475739971268922,2.371938699739985,cpu,cuda:0,0,378.88916015625,42
2,1,DDT500_num50.txt,fixed,1027,8,128.375,6.362733364105225,5.06349515914917,6.613698587898398e-06,-5.4,-0.268982487,0.1625000238418579,0.041758231818675995,0.10000000149011612,0.2199999988079071,0.04994210402170817,0.0627813848356406,0.00554966910664613,1.5614113489786783,0.0024198422305441152,0.032650752427677315,0.0003,335,65,51.45620876219677,5.082449436187744,14.876269340515137,19.95871877670288,514,0.26607379980850965,0,0,TRUE,pair,137,2.0882732989266515,6.1022395309942254,40,0,7.4963503649635035,2.0882732989266515,0.20098629768472165,2.6638942974386737,cpu,cuda:0,0,349.4150391,43
3,1,DDT500_num50.txt,fixed,918,8,114.75,6.609652042388916,4.262364864349365,7.233558335428825e-06,-6.2,-0.372499942,0.11249999701976776,0.033071890473365784,0.05999999865889549,0.14000000059604645,-0.002658247,0.00842661460240682,0.01148131995772322,1.6825522184371948,0.0034616282316468033,0.03888192682837446,0.0003,355,45,51.23620954963414,4.281084299087524,13.635931968688965,17.91701626777649,519,0.20452869997825474,0,0,TRUE,pair,124,1.7527027004398406,7.148148149966155,75,0,7.403225806451613,1.7527027004398406,0.1630036027636379,2.2507509001297876,cpu,cuda:0,0,325.60302734375,43
4,1,DDT500_num50.txt,fixed,941,8,117.625,6.927075386047363,4.3392767906188965,5.893329216632992e-06,-5.92,-0.433514203,0.12999999523162842,0.04242640733718872,0.05999999865889549,0.20000000298023224,-0.004949257,0.004424651215473811,0.013551315556590756,1.6149574120839436,0.0028614797124949594,0.027607846880952518,0.0003,348,52,49.59841580236637,4.357632637023926,14.614747524261475,18.9723801612854,506,0.18823500035796314,0,0,TRUE,pair,130,1.8163987000007182,6.598299679923387,52,0,7.2384615384615385,1.8163987000007182,0.16005799814593047,2.2666688008466735,cpu,cuda:0,0,338.61767578125,45
5,1,DDT500_num50.txt,fixed,1013,8,126.625,8.092241287231445,4.680185317993164,6.37518996882136e-06,-5.56,-0.442310754,0.1524999886751175,0.022220488637685776,0.11999999731779099,0.18000000715255737,0.09516923576593399,0.10615628510713578,0.010342847714976717,1.6158474922180175,0.0019095985645738742,0.008564365282654762,0.0003,339,61,52.969483519261296,4.698379039764404,14.425839900970459,19.124218940734863,515,0.20961529726628214,0,0,TRUE,pair,137,1.9162748000817373,6.5468904254231735,50,0,7.394160583941606,1.9162748000817373,0.17608179745730013,2.48341420176439,cpu,cuda:0,0,407.3613281,44
6,1,DDT500_num50.txt,fixed,1003,8,125.375,7.532222270965576,4.739938735961914,5.4105785238789394e-06,-5.92,-0.513826593,0.12999999523162842,0.026457512751221657,0.07999999821186066,0.1599999964237213,0.035973472396532695,0.04401338795820872,0.01573508616226415,1.5907453616460165,0.002607865274573366,0.024377430323511362,0.0003,348,52,52.55802632671949,4.756815671920776,14.32685375213623,19.083669424057007,519,0.20070039946585894,0,0,TRUE,pair,134,1.9915756999980658,6.5872382834806285,45,0,7.485074626865671,1.9915756999980658,0.19072410149965435,2.451687701395713,cpu,cuda:0,0,339.4980469,45
7,1,DDT500_num50.txt,fixed,992,8,124,5,4.717436790466309,4.665943379222881e-06,-5.64,-0.555391397,0.14749999344348907,0.01984313689172268,0.11999999731779099,0.18000000715255737,0.07929327189922333,0.08490586280822754,0.021546833061923582,1.6386000871658326,0.004408343823160976,0.051289706863462924,0.0003,341,59,53.07591552663088,4.7347331047058105,13.955476760864258,18.69020986557007,510,0.1958414006512612,0,0,TRUE,pair,133,2.013244101079181,6.9243951593675925,55,0,7.458646616541353,2.013244101079181,0.18377810111269355,2.4160334983607754,cpu,cuda:0,0,352.5849609,46
8,1,DDT500_num50.txt,fixed,942,8,117.75,6.398241996765137,4.304904460906982,4.897746748611098e-06,-6.2,-0.556503325,0.11250000447034836,0.024366986006498337,0.05999999865889549,0.14000000059604645,0.008499963333209355,0.01394072026014328,0.02208556270537277,1.648354411125183,0.0034282926887196177,0.03678110965217153,0.0003,355,45,52.943787934677985,4.32141900062561,13.471036672592163,17.792455673217773,509,0.18314450059551746,0,0,TRUE,pair,128,1.7393346006283537,7.171974525583272,45,0,7.359375,1.7393346006283537,0.15763869939837605,2.3169864993542433,cpu,cuda:0,0,337.9160156,45
9,1,DDT500_num50.txt,fixed,996,8,124.5,8.440971374511719,4.707347393035889,5.3683902478951495e-06,-5.2,-0.53825641,0.17500001192092896,0.03570714220404625,0.11999999731779099,0.2199999988079071,0.004413381218910217,0.011862174173196157,0.016681065782904625,1.5789329846700033,0.005901219439207731,0.0767372554478546,0.0003,330,70,53.569682977610476,4.724692106246948,13.867913722991943,18.59260582923889,514,0.27225599938537925,0,0,TRUE,pair,142,1.920539999497123,6.506024096385542,72,0,7.014084507042254,1.920539999497123,0.17588709946721792,2.5084721023449674,cpu,cuda:0,0,343.15576171875,46
