instance_name,DDT,S,solve_time,avg_decision_time
DDT1200_num100,1200,100,17.4284,0.174284
DDT1200_num150,1200,150,19.3319,0.128879
DDT1200_num50,1200,50,8.3155,0.16631
DDT1600_num100,1600,100,15.8722,0.158722
DDT1600_num150,1600,150,21.4349,0.1429
DDT1600_num50,1600,50,8.2448,0.164896
DDT500_num100,500,100,8.5023,0.085023
DDT500_num150,500,150,14.0967,0.093978
DDT500_num50,500,50,4.1488,0.082976
DDT600_num100,600,100,10.9835,0.109835
DDT600_num150,600,150,16.5013,0.110009
DDT600_num50,600,50,6.5212,0.130424
DDT900_num100,900,100,10.6221,0.106221
DDT900_num150,900,150,15.3932,0.102621
DDT900_num50,900,50,5.1939,0.103877
