instances,avg_decision_time,solve_time,num,algorithm
DDT500_num50,0.082976,4.1488,50,FSHGRL
DDT500_num100,0.085023,8.5023,100,FSHGRL
DDT500_num150,0.093978,14.0967,150,FSHGRL
DDT600_num50,0.130424,6.5212,50,FSHGRL
DDT600_num100,0.109835,10.9835,100,FSHGRL
DDT600_num150,0.110009,16.5013,150,FSHGRL
DDT900_num50,0.103878,5.1939,50,FSHGRL
DDT900_num100,0.106221,10.6221,100,FSHGRL
DDT900_num150,0.102621,15.3932,150,FSHGRL
DDT1200_num50,0.16631,8.3155,50,FSHGRL
DDT1200_num100,0.174284,17.4284,100,FSHGRL
DDT1200_num150,0.128879,19.3319,150,FSHGRL
DDT1600_num50,0.164896,8.2448,50,FSHGRL
DDT1600_num100,0.158722,15.8722,100,FSHGRL
DDT1600_num150,0.142899,21.4349,150,FSHGRL
DDT500_num50,0.319596,15.9798,50,FIFO
DDT500_num100,0.116546,11.6546,100,FIFO
DDT500_num150,0.107799,16.1698,150,FIFO
DDT600_num50,0.239496,11.9748,50,FIFO
DDT600_num100,0.178647,17.8647,100,FIFO
DDT600_num150,0.101239,15.1858,150,FIFO
DDT900_num50,0.259008,12.9504,50,FIFO
DDT900_num100,0.110011,11.0011,100,FIFO
DDT900_num150,0.065575,9.8362,150,FIFO
DDT1200_num50,0.2196,10.9800,50,FIFO
DDT1200_num100,0.111639,11.1639,100,FIFO
DDT1200_num150,0.0852,12.7800,150,FIFO
DDT1600_num50,0.218498,10.9249,50,FIFO
DDT1600_num100,0.104611,10.4611,100,FIFO
DDT1600_num150,0.073038,10.9557,150,FIFO
DDT500_num50,0.278216,13.9108,50,MOR
DDT500_num100,0.103844,10.3844,100,MOR
DDT500_num150,0.089892,13.4838,150,MOR
DDT600_num50,0.227,11.3500,50,MOR
DDT600_num100,0.150612,15.0612,100,MOR
DDT600_num150,0.091555,13.7332,150,MOR
DDT900_num50,0.189736,9.4868,50,MOR
DDT900_num100,0.106127,10.6127,100,MOR
DDT900_num150,0.064707,9.7061,150,MOR
DDT1200_num50,0.197076,9.8538,50,MOR
DDT1200_num100,0.108655,10.8655,100,MOR
DDT1200_num150,0.082147,12.3220,150,MOR
DDT1600_num50,0.198986,9.9493,50,MOR
DDT1600_num100,0.107462,10.7462,100,MOR
DDT1600_num150,0.069801,10.4702,150,MOR
DDT500_num50,0.274626,13.7313,50,MWKR
DDT500_num100,0.099888,9.9888,100,MWKR
DDT500_num150,0.086465,12.9698,150,MWKR
DDT600_num50,0.228312,11.4156,50,MWKR
DDT600_num100,0.137294,13.7294,100,MWKR
DDT600_num150,0.091798,13.7697,150,MWKR
DDT900_num50,0.171732,8.5866,50,MWKR
DDT900_num100,0.080733,8.0733,100,MWKR
DDT900_num150,0.053835,8.0753,150,MWKR
DDT1200_num50,0.206644,10.3322,50,MWKR
DDT1200_num100,0.100144,10.0144,100,MWKR
DDT1200_num150,0.079157,11.8736,150,MWKR
DDT1600_num50,0.202428,10.1214,50,MWKR
DDT1600_num100,0.097329,9.7329,100,MWKR
DDT1600_num150,0.064651,9.6977,150,MWKR
DDT500_num50,0.26565,13.2825,50,Random
DDT500_num100,0.104851,10.4851,100,Random
DDT500_num150,0.089686,13.4529,150,Random
DDT600_num50,0.226018,11.3009,50,Random
DDT600_num100,0.150407,15.0407,100,Random
DDT600_num150,0.089294,13.3941,150,Random
DDT900_num50,0.20716,10.3580,50,Random
DDT900_num100,0.093215,9.3215,100,Random
DDT900_num150,0.058047,8.7070,150,Random
DDT1200_num50,0.206436,10.3218,50,Random
DDT1200_num100,0.107163,10.7163,100,Random
DDT1200_num150,0.080476,12.0714,150,Random
DDT1600_num50,0.204884,10.2442,50,Random
DDT1600_num100,0.105965,10.5965,100,Random
DDT1600_num150,0.069662,10.4493,150,Random
DDT500_num50,0.276198,13.8099,50,RRC
DDT500_num100,0.109549,10.9549,100,RRC
DDT500_num150,0.102075,15.3112,150,RRC
DDT600_num50,0.226972,11.3486,50,RRC
DDT600_num100,0.158055,15.8055,100,RRC
DDT600_num150,0.092507,13.8761,150,RRC
DDT900_num50,0.206358,10.3179,50,RRC
DDT900_num100,0.101814,10.1814,100,RRC
DDT900_num150,0.060917,9.1375,150,RRC
DDT1200_num50,0.214398,10.7199,50,RRC
DDT1200_num100,0.116598,11.6598,100,RRC
DDT1200_num150,0.085442,12.8163,150,RRC
DDT1600_num50,0.212204,10.6102,50,RRC
DDT1600_num100,0.111957,11.1957,100,RRC
DDT1600_num150,0.072969,10.9453,150,RRC
